"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.10.2022","19.432,0","19.154,6","19.494,4","18.207,9","448,97K","1,45%"
"12.10.2022","19.154,8","19.058,5","19.212,6","19.010,6","242,18K","0,50%"
"11.10.2022","19.059,1","19.134,3","19.261,3","18.868,7","288,57K","-0,39%"
"10.10.2022","19.134,6","19.441,7","19.520,7","19.057,0","243,77K","-1,58%"
"09.10.2022","19.441,0","19.416,3","19.552,1","19.329,6","127,53K","0,13%"
"08.10.2022","19.415,0","19.530,2","19.612,2","19.274,7","113,50K","-0,60%"
"07.10.2022","19.531,3","19.962,4","20.051,4","19.352,1","263,50K","-2,13%"
"06.10.2022","19.956,7","20.157,5","20.436,7","19.873,7","370,60K","-1,00%"
"05.10.2022","20.157,5","20.340,5","20.353,8","19.761,7","352,76K","-0,90%"
"04.10.2022","20.340,2","19.629,7","20.436,1","19.506,4","368,17K","3,63%"
"03.10.2022","19.628,3","19.057,6","19.676,0","19.001,3","333,03K","3,02%"
"02.10.2022","19.052,2","19.311,9","19.389,9","18.937,3","222,82K","-1,34%"
"01.10.2022","19.311,9","19.422,9","19.480,3","19.172,6","173,91K","-0,57%"
"30.09.2022","19.423,0","19.593,4","20.174,9","19.208,9","490,29K","-0,87%"
"29.09.2022","19.593,0","19.420,2","19.631,5","18.877,9","449,57K","0,94%"
"28.09.2022","19.411,0","19.083,4","19.757,8","18.505,3","581,19K","1,73%"
"27.09.2022","19.081,0","19.228,8","20.361,2","18.850,4","660,12K","-0,75%"
"26.09.2022","19.225,7","18.803,1","19.304,8","18.695,2","516,03K","2,25%"
"25.09.2022","18.803,2","18.925,1","19.125,1","18.659,6","209,71K","-0,64%"
"24.09.2022","18.925,2","19.288,4","19.310,6","18.812,0","258,50K","-1,91%"
"23.09.2022","19.293,5","19.404,1","19.477,3","18.554,8","431,15K","-0,57%"
"22.09.2022","19.404,0","18.488,1","19.490,9","18.371,0","448,63K","4,95%"
"21.09.2022","18.489,0","18.875,1","19.758,4","18.191,8","446,85K","-2,03%"
"20.09.2022","18.872,4","19.538,9","19.626,3","18.742,6","361,18K","-3,41%"
"19.09.2022","19.538,9","19.417,4","19.666,6","18.277,8","423,43K","0,62%"
"18.09.2022","19.418,8","20.113,9","20.113,9","19.347,7","273,11K","-3,45%"
"17.09.2022","20.113,5","19.802,8","20.178,6","19.761,0","204,58K","1,57%"
"16.09.2022","19.802,4","19.701,9","19.883,0","19.352,9","315,59K","0,51%"
"15.09.2022","19.701,7","20.222,3","20.321,4","19.532,3","358,42K","-2,58%"
"14.09.2022","20.222,5","20.175,5","20.503,7","19.654,2","374,22K","0,23%"
"13.09.2022","20.175,5","22.395,3","22.702,5","19.909,6","485,32K","-9,91%"
