"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.11.2022","0,001062","0,001085","0,001087","0,001062","","-2,10%"
"17.11.2022","0,001085","0,001096","0,001096","0,001078","","-0,92%"
"16.11.2022","0,001095","0,001127","0,001136","0,001094","","-2,84%"
"15.11.2022","0,001127","0,001123","0,001133","0,001114","","0,45%"
"14.11.2022","0,001122","0,001123","0,001125","0,001103","","0,00%"
"11.11.2022","0,001122","0,001118","0,001137","0,001118","","0,45%"
"10.11.2022","0,001117","0,001103","0,001134","0,001099","","1,36%"
"09.11.2022","0,001102","0,001103","0,001111","0,001097","","0,00%"
"08.11.2022","0,001102","0,001091","0,001115","0,001089","","1,10%"
"07.11.2022","0,001090","0,001082","0,001093","0,001077","","1,21%"
"04.11.2022","0,001077","0,001059","0,001082","0,001059","","1,80%"
"03.11.2022","0,001058","0,001059","0,001065","0,001043","","0,00%"
"02.11.2022","0,001058","0,001060","0,001074","0,001055","","-0,09%"
"01.11.2022","0,001059","0,001060","0,001061","0,001059","","0,00%"
"31.10.2022","0,001059","0,001060","0,001061","0,001059","","0,00%"
"28.10.2022","0,001059","0,001060","0,001080","0,001053","","0,09%"
"27.10.2022","0,001058","0,001051","0,001067","0,001046","","0,76%"
"26.10.2022","0,001050","0,001033","0,001058","0,001033","","1,74%"
"25.10.2022","0,001032","0,001014","0,001039","0,001011","","1,88%"
"24.10.2022","0,001013","0,001028","0,001030","0,001011","","-1,46%"
"21.10.2022","0,001028","0,001022","0,001034","0,001007","","0,59%"
"20.10.2022","0,001022","0,001027","0,001039","0,001018","","-0,39%"
"19.10.2022","0,001026","0,001028","0,001029","0,001015","","-0,10%"
"18.10.2022","0,001027","0,001029","0,001039","0,001020","","-0,10%"
"17.10.2022","0,001028","0,001039","0,001046","0,001024","","-0,96%"
"14.10.2022","0,001038","0,001066","0,001067","0,001033","","-2,63%"
"13.10.2022","0,001066","0,001059","0,001071","0,001043","","0,85%"
"12.10.2022","0,001057","0,001078","0,001086","0,001057","","-1,86%"
"11.10.2022","0,001077","0,001065","0,001084","0,001059","","1,22%"
"10.10.2022","0,001064","0,001065","0,001066","0,001065","","0,00%"
"07.10.2022","0,001064","0,001060","0,001069","0,001044","","0,57%"
"06.10.2022","0,001058","0,001063","0,001067","0,001051","","-0,47%"
"05.10.2022","0,001063","0,001074","0,001074","0,001055","","-0,93%"
"04.10.2022","0,001073","0,001063","0,001082","0,001063","","1,04%"
"03.10.2022","0,001062","0,001033","0,001066","0,001027","","2,91%"
"30.09.2022","0,001032","0,001037","0,001054","0,001028","","-0,39%"
"29.09.2022","0,001036","0,001046","0,001048","0,001022","","-0,77%"
"28.09.2022","0,001044","0,001015","0,001052","0,001007","","2,96%"
"27.09.2022","0,001014","0,001006","0,001026","0,001006","","0,90%"
"26.09.2022","0,001005","0,001031","0,001032","0,001002","","-2,24%"
"23.09.2022","0,001028","0,001059","0,001059","0,001027","","-2,74%"
"22.09.2022","0,001057","0,001067","0,001076","0,001050","","-0,84%"
"21.09.2022","0,001066","0,001072","0,001075","0,001056","","-0,37%"
"20.09.2022","0,001070","0,001083","0,001083","0,001069","","-1,20%"
"19.09.2022","0,001083","0,001084","0,001084","0,001083","","-0,09%"
"16.09.2022","0,001084","0,001082","0,001084","0,001082","","0,28%"
"15.09.2022","0,001081","0,001087","0,001090","0,001077","","-0,37%"
"14.09.2022","0,001085","0,001090","0,001099","0,001080","","-0,28%"
"13.09.2022","0,001088","0,001113","0,001122","0,001084","","-2,25%"
"12.09.2022","0,001113","0,001105","0,001121","0,001099","","0,91%"
"09.09.2022","0,001103","0,001134","0,001148","0,001095","","-2,56%"
"08.09.2022","0,001132","0,001131","0,001145","0,001123","","0,27%"
"07.09.2022","0,001129","0,001120","0,001136","0,001108","","0,98%"
"06.09.2022","0,001118","0,001135","0,001148","0,001113","","-1,41%"
"05.09.2022","0,001134","0,001138","0,001191","0,001134","","-0,26%"
"02.09.2022","0,001137","0,001115","0,001142","0,001110","","2,06%"
"01.09.2022","0,001114","0,001114","0,001126","0,001100","","0,00%"
"31.08.2022","0,001114","0,001124","0,001129","0,001105","","-0,71%"
"30.08.2022","0,001122","0,001133","0,001145","0,001122","","-0,97%"
"29.08.2022","0,001133","0,001120","0,001134","0,001110","","1,25%"
"26.08.2022","0,001119","0,001113","0,001123","0,001099","","0,72%"
"25.08.2022","0,001111","0,001086","0,001116","0,001081","","2,40%"
"24.08.2022","0,001085","0,001091","0,001103","0,001081","","-0,37%"
"23.08.2022","0,001089","0,001066","0,001095","0,001062","","2,16%"
"22.08.2022","0,001066","0,001059","0,001068","0,001047","","0,76%"
"19.08.2022","0,001058","0,001076","0,001078","0,001051","","-1,49%"
"18.08.2022","0,001074","0,001114","0,001121","0,001075","","-3,59%"
"17.08.2022","0,001114","0,001135","0,001135","0,001102","","-1,76%"
"16.08.2022","0,001134","0,001135","0,001142","0,001128","","0,00%"
"15.08.2022","0,001134","0,001142","0,001143","0,001135","","-0,61%"
"12.08.2022","0,001141","0,001130","0,001143","0,001127","","1,06%"
"11.08.2022","0,001129","0,001126","0,001138","0,001125","","0,36%"
"10.08.2022","0,001125","0,001107","0,001131","0,001104","","1,81%"
"09.08.2022","0,001105","0,001104","0,001118","0,001104","","0,18%"
"08.08.2022","0,001103","0,001090","0,001110","0,001090","","1,29%"
"05.08.2022","0,001089","0,001108","0,001114","0,001085","","-1,71%"
"04.08.2022","0,001108","0,001097","0,001118","0,001095","","1,09%"
"03.08.2022","0,001096","0,001098","0,001114","0,001093","","-0,09%"
"02.08.2022","0,001097","0,001122","0,001126","0,001097","","-2,14%"
"01.08.2022","0,001121","0,001110","0,001130","0,001109","","1,17%"
"29.07.2022","0,001108","0,001100","0,001115","0,001097","","1,00%"
"28.07.2022","0,001097","0,001099","0,001106","0,001088","","0,18%"
"27.07.2022","0,001095","0,001081","0,001100","0,001080","","1,39%"
"26.07.2022","0,001080","0,001067","0,001091","0,001066","","1,31%"
"25.07.2022","0,001066","0,001050","0,001073","0,001048","","1,72%"
"22.07.2022","0,001048","0,001077","0,001088","0,001047","","-2,60%"
"21.07.2022","0,001076","0,001078","0,001089","0,001072","","-0,28%"
"20.07.2022","0,001079","0,001079","0,001095","0,001077","","0,00%"
"19.07.2022","0,001079","0,001057","0,001085","0,001057","","2,37%"
"18.07.2022","0,001054","0,001055","0,001068","0,001050","","2,83%"
"15.07.2022","0,001025","0,000952","0,001047","0,000951","","7,67%"
"14.07.2022","0,000952","0,000990","0,000990","0,000942","","-3,84%"
"13.07.2022","0,000990","0,000981","0,001001","0,000969","","1,02%"
